Indicator Name,Indicator Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,American Samoa,ASM,51.30243602,51.22780572,51.16454321,51.11637704,51.07184343,51.02707667,50.98627027,50.95076007,50.90456402,50.84101714,50.80302015,50.79969397,50.80658482,50.81008017,50.80424943,50.79713297,50.78286502,50.75020354,50.70026911,50.63134834,50.58178091,50.55967496,50.535766,50.50713354,50.46936812
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Antigua and Barbuda,ATG,47.13059497,47.07436669,47.06936169,47.1008166,47.13601545,47.17061713,47.20733462,47.24738079,47.28869162,47.32990389,47.36348613,47.39378214,47.42035297,47.4388236,47.4556413,47.47061258,47.48413342,47.49687731,47.51116292,47.52856705,47.54423213,47.55814961,47.57647566,47.58934791,47.59736382
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Australia,AUS,49.63450619,49.6261767,49.63144839,49.63939471,49.64836816,49.6605384,49.67959104,49.71193606,49.75319585,49.78207099,49.78450726,49.77470193,49.76502063,49.74313219,49.70379223,49.65962505,49.626214,49.61775363,49.62462338,49.62545591,49.61877604,49.6191828,49.6182548,49.61473661,49.61837413
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Austria,AUT,48.36273332,48.41954323,48.48225038,48.52557099,48.56284193,48.60844378,48.64178494,48.65355374,48.66281248,48.67830269,48.69268623,48.71897365,48.762975,48.81385233,48.88328226,49.0169872,49.13181816,49.16696945,49.18081476,49.18984343,49.19719484,49.20227999,49.20966856,49.22041451,49.23479957
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Azerbaijan,AZE,47.13290931,47.22408075,47.31515819,47.40167585,47.49561654,47.6009477,47.70777994,47.81224316,47.91241154,47.99689642,48.07019903,48.14453093,48.22223976,48.30036249,48.37309984,48.43923571,48.54903942,48.69424304,48.81543778,48.8870602,48.91372095,48.93749699,48.9716088,49.00053856,49.01840329
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Burundi,BDI,49.25360032,49.25797721,49.26916713,49.28984241,49.31765357,49.34607164,49.3735655,49.40185305,49.43172393,49.46578128,49.49672291,49.52059986,49.54385987,49.56611725,49.58581587,49.59776255,49.60636423,49.61817234,49.63182091,49.64514644,49.65468118,49.66158988,49.66758368,49.67310593,49.67753637
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Belgium,BEL,48.89126378,48.89984986,48.91820583,48.9304046,48.93242604,48.93446689,48.94437027,48.96240579,48.98491621,49.02709579,49.08127059,49.11261188,49.12891431,49.1372346,49.14735063,49.19814349,49.23744562,49.24560808,49.26545722,49.29194409,49.32134939,49.30948857,49.28445896,49.29235672,49.31059601
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Benin,BEN,49.40487722,49.44721685,49.48940945,49.5323497,49.575964,49.5974374,49.621177,49.6675385,49.71039607,49.74950636,49.78702696,49.82330923,49.8598867,49.89706629,49.93238896,49.96518254,49.99547352,50.02257931,50.04753561,50.07009249,50.08753904,50.10412708,50.12142883,50.13527003,50.14660447
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Burkina Faso,BFA,49.22254706,49.28532336,49.35316085,49.42102951,49.48718691,49.54769998,49.59314949,49.61633827,49.6210765,49.6215802,49.62302718,49.62862597,49.64481435,49.66121439,49.67830643,49.69974949,49.72387949,49.74825337,49.76405804,49.7727144,49.78454225,49.8000204,49.80825259,49.80836694,49.81186075
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Bangladesh,BGD,50.8955864,50.8218178,50.718756,50.60995698,50.49560661,50.37638119,50.25343228,50.12794204,50.00032179,49.8720642,49.74598425,49.63622431,49.54305956,49.45159218,49.36010733,49.2699766,49.18267321,49.15578332,49.18638775,49.21513946,49.23623145,49.25021169,49.23661789,49.19763915,49.17175247
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Bulgaria,BGR,48.73965052,48.70052817,48.67877428,48.67061683,48.65812066,48.6452393,48.63476458,48.63046614,48.63178633,48.63568595,48.64171892,48.6498623,48.66061484,48.6586252,48.6374999,48.61569816,48.5926071,48.56168407,48.52723501,48.49192219,48.45192692,48.42426996,48.41085319,48.39798917,48.39035185
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Bahrain,BHR,59.07315033,59.29972741,59.81092719,60.31555268,60.73875255,61.09502114,61.39700005,61.65546787,61.88064038,62.08557754,62.15814791,62.30691589,62.69811059,62.50430519,61.83411941,61.83119775,62.50469536,63.0471088,62.85685669,62.48260887,62.31052063,62.00048743,61.97287438,62.07668515,62.0410218
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Bahamas, The",BHS,49.37113036,49.31627608,49.26722032,49.20564451,49.13679948,49.0720978,48.99461787,48.89990774,48.81087677,48.72357432,48.62876145,48.54073801,48.46938504,48.40441955,48.33977682,48.27545044,48.20940331,48.1409017,48.07227596,48.01304368,47.96507883,47.91408071,47.85517899,47.79404217,47.74610437
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Bosnia and Herzegovina,BIH,47.83424376,47.85030906,47.85777374,47.85588113,47.83799128,47.81204313,47.78773062,47.7528913,47.7107924,47.66954122,47.63082285,47.59439179,47.55948931,47.53572488,47.52749711,47.52447108,47.52800386,47.54434866,47.54635371,47.5406161,47.54565219,47.5621805,47.55906917,47.55517377,47.58767633
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Belarus,BLR,46.83335413,46.80454394,46.76664659,46.71860969,46.6728765,46.62207828,46.57215065,46.53726488,46.51450811,46.50327989,46.49376572,46.47590163,46.46640834,46.47556985,46.49656677,46.52719732,46.5604976,46.58140572,46.60130331,46.61916481,46.61345421,46.59699984,46.59597769,46.60374212,46.60006254
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Belize,BLZ,50.55980066,50.5237984,50.46502271,50.40393357,50.34304055,50.28366538,50.22526826,50.17021277,50.11910199,50.07069421,50.07541101,50.12893449,50.17642802,50.21866017,50.25564453,50.2908796,50.36207346,50.43100099,50.4346088,50.3913661,50.3473546,50.31099262,50.38400131,50.47043828,50.45699543
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Bermuda,BMU,49.86758948,49.82866749,49.80045702,49.77157971,49.72903845,49.68665784,49.64270367,49.62545628,49.65718799,49.71761189,49.72538681,49.66421892,49.60170943,49.58079688,49.60254372,49.63206908,49.62253148,49.53679674,49.41642775,49.29882852,49.19232084,49.08427175,49.00925111,48.96520812,48.91855932
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Bolivia,BOL,50.52936067,50.58833032,50.60584093,50.58837997,50.57091331,50.55359857,50.53697931,50.52051119,50.5039155,50.48825037,50.47286259,50.4575401,50.44252904,50.42720377,50.4114984,50.39568468,50.37964605,50.36285587,50.34538346,50.3276903,50.27009726,50.17812984,50.12563803,50.11149398,50.10116555
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Brazil,BRA,49.68146191,49.66258767,49.6428263,49.62252666,49.60212677,49.58194816,49.5620188,49.54196188,49.52149949,49.5008896,49.480333,49.4596106,49.43884304,49.41854676,49.39875766,49.38003759,49.36062835,49.34050744,49.32117506,49.30250209,49.28786423,49.26572186,49.23717377,49.21507162,49.19614152
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Barbados,BRB,48.11247677,48.11126989,48.07229281,48.03311071,47.99212864,47.94739251,47.89853408,47.85339619,47.81511835,47.77580785,47.76833562,47.79278627,47.8157566,47.83606144,47.85520284,47.87483422,47.89286008,47.9103833,47.92739838,47.94297439,47.96004217,47.97392848,47.96416794,47.94446314,47.94294555
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Brunei Darussalam,BRN,53.9323089,53.87271445,53.81476036,53.7585428,53.70462724,53.65253612,53.6014172,53.47451412,53.28235303,53.10388541,52.92877698,52.8134225,52.81501737,52.87158136,52.92621476,52.97907212,53.02995575,53.07875741,53.12704855,53.17452788,53.21891002,53.21880811,53.18016817,53.14066082,53.09883688
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Bhutan,BTN,52.18634762,52.55192422,52.90810991,53.25265344,53.5807669,53.79427256,53.83669326,53.81511902,53.8008194,53.79343735,53.79144623,53.7936158,53.79879545,53.80587199,53.81496031,53.82929684,53.85189325,53.83523236,53.77633404,53.71987056,53.66295847,53.60658824,53.55135137,53.49580676,53.44720634
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Botswana,BWA,49.02932069,49.06409913,49.10076612,49.13968067,49.17674102,49.21252888,49.2515672,49.29366404,49.33470771,49.37099162,49.40116373,49.41773348,49.45993012,49.53690014,49.6097453,49.67797923,49.74046616,49.79569851,49.84265863,49.88120063,49.9099917,49.93349823,49.92003744,49.87287541,49.84118283
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Central African Republic,CAF,50.25781183,50.23958493,50.2223497,50.21336374,50.20837974,50.20474211,50.20089872,50.1970525,50.19448416,49.69107187,49.16260776,49.15820778,49.16640063,49.15881139,49.06754698,48.99135316,48.99257753,48.9521355,48.91571594,48.77547776,48.63758594,48.57585951,48.1805455,47.89259263,47.98557935
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Canada,CAN,49.49549885,49.51773869,49.53185256,49.5367987,49.54093616,49.54810198,49.55199874,49.5489069,49.54561537,49.54489648,49.54546317,49.55371009,49.57239908,49.59162233,49.60070873,49.60109264,49.60384112,49.61786405,49.64452746,49.66851834,49.68169649,49.68364586,49.66957796,49.65908383,49.65715483
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Switzerland,CHE,48.86152656,48.86147855,48.87913477,48.90799647,48.93552363,48.96550954,48.99852364,49.05753599,49.14095346,49.20053841,49.24287168,49.28764396,49.33646092,49.38968277,49.43414933,49.47448284,49.53183327,49.57456136,49.58509191,49.5974013,49.61585921,49.63589167,49.64892674,49.66113192,49.67756036
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Channel Islands,CHI,48.37045689,48.42526033,48.51616605,48.61819531,48.72203002,48.82546939,48.9219596,49.01196969,49.09915094,49.18196189,49.25514276,49.31686975,49.36554538,49.40504522,49.43709057,49.45458995,49.45387535,49.44954631,49.44316122,49.43069307,49.42460974,49.41945544,49.40795139,49.391742,49.37695167
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Chile,CHL,49.7540996,49.74802102,49.74051775,49.73458246,49.73131131,49.7278818,49.7249563,49.72328358,49.72267037,49.72352295,49.72451125,49.72648396,49.72999211,49.73366042,49.73673317,49.73765246,49.73766398,49.73900077,49.74082725,49.74103987,49.73117025,49.71320394,49.70057593,49.69853759,49.70180784
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,China,CHN,51.07778173,51.08959505,51.10019153,51.11007684,51.11949497,51.12800724,51.1355888,51.14387767,51.15220032,51.15898575,51.16478687,51.16838568,51.16995618,51.17000558,51.16756576,51.16210912,51.15355049,51.13892128,51.12058806,51.10388028,51.07976297,51.04980235,51.01749427,50.97926122,50.94151227
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Cote d'Ivoire,CIV,50.25823768,50.23992632,50.2250577,50.21300051,50.20148507,50.18912265,50.17775271,50.16699034,50.26929124,50.48380214,50.70002243,50.91941519,51.14134789,51.35431306,51.4225991,51.3590701,51.29700353,51.23716903,51.18033415,51.1257986,51.07129234,51.01833903,50.96839773,50.92026306,50.87544306
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Cameroon,CMR,49.64213894,49.66379353,49.68529195,49.70555694,49.72470705,49.74338482,49.76039301,49.77480478,49.78765004,49.79887227,49.80845855,49.81711425,49.82459958,49.83081318,49.83542305,49.83862922,49.84173171,49.84444809,49.84578364,49.84626616,49.84456837,49.84192346,49.84044308,49.83872342,49.8367964
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Congo, Dem. Rep.",COD,49.47199364,49.47628593,49.47857533,49.48076722,49.48676124,49.49521166,49.50408644,49.51341399,49.52255811,49.53033142,49.53804336,49.54704217,49.55543895,49.56305629,49.57053562,49.57747115,49.5852866,49.59315896,49.59866967,49.60297885,49.60579226,49.607317,49.60918472,49.61150956,49.61446339
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Congo, Rep.",COG,49.73643008,49.77129365,49.80006094,49.82883272,49.85847922,49.88598344,49.91043433,49.93083662,49.94661504,49.95983621,49.97118072,49.97942394,49.9855499,49.99031315,49.99406135,49.99744977,49.99998085,50.0019529,50.00330104,50.00411276,50.00215548,49.99960117,49.99854186,49.99655501,49.9939128
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Colombia,COL,49.65757937,49.63310198,49.61019157,49.59109425,49.57590021,49.56260508,49.54950194,49.53556548,49.52151234,49.50871147,49.49702549,49.48517237,49.47295368,49.46095784,49.4496271,49.4392009,49.43072689,49.42558943,49.42252711,49.41903385,49.40371714,49.37325953,49.3519669,49.34630644,49.34215461
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Comoros,COM,49.24507536,49.37630204,49.52005911,49.5786226,49.57878713,49.6110873,49.64555777,49.68067483,49.71675192,49.7541857,49.79391755,49.83444502,49.87309831,49.94513008,50.04820788,50.14531803,50.23545955,50.28413972,50.29471611,50.30410207,50.30436457,50.2978584,50.29537706,50.29439538,50.2885898
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Cabo Verde,CPV,48.9848186,49.12088604,49.27159209,49.42277184,49.57339842,49.72326149,49.87223065,50.0192467,50.16265919,50.30031217,50.40644665,50.46124126,50.49467238,50.53169994,50.57112073,50.61232296,50.65515048,50.70092729,50.75134151,50.80839674,50.86422632,50.88328827,50.87351032,50.86631057,50.85896315
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Costa Rica,CRI,49.66530286,49.64418337,49.62856733,49.61585335,49.60304299,49.5907411,49.57842928,49.56532142,49.55302366,49.54205651,49.53265633,49.52607838,49.5239641,49.52333961,49.52162931,49.51732437,49.51143385,49.50648023,49.49907399,49.49038444,49.4766324,49.4536646,49.4324215,49.41965812,49.41076939
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Cuba,CUB,50.21941004,50.15544504,50.09711992,50.04791521,50.00273162,49.95524994,49.9065394,49.85832273,49.81118093,49.76462453,49.71858592,49.67258977,49.64544918,49.63648974,49.62510332,49.61087582,49.59197515,49.56727205,49.54031387,49.51248102,49.48212534,49.4298144,49.3800532,49.35548145,49.33503695
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Curacao,CUW,46.60789258,46.52126756,46.4424507,46.31636592,46.19282224,46.08328432,45.98800039,45.89008558,45.78999057,45.6865073,45.5797143,45.42714075,45.4173659,45.57872343,45.70767208,45.79954745,45.85414407,45.8831558,47.25111932,47.97644862,47.52402469,47.54984756,47.55481699,47.56480987,47.59437573
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Cayman Islands,CYM,48.99178303,49.04232276,49.08735946,49.13051395,49.15108485,49.16217834,49.18311494,49.207052,49.23657407,49.27781368,49.31605605,49.39486036,49.5178087,49.63259739,49.74235372,49.84669792,49.93977813,50.02479236,50.10691376,50.18194781,50.24969062,50.26887472,50.2423489,50.2149566,50.19742674
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Cyprus,CYP,50.82750674,50.80959251,50.78588604,50.76071189,50.73879333,50.71924845,50.70057605,50.68191522,50.66354911,50.64658203,50.63343666,50.61295621,50.58375007,50.55710177,50.53382382,50.51242228,50.49134558,50.47082976,50.45465742,50.44249851,50.42457351,50.40142472,50.38603122,50.38019294,50.3760262
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Czechia,CZE,48.68386657,48.710943,48.74915376,48.78752008,48.82508807,48.86437001,48.90578837,48.94518939,48.98358998,49.0225971,49.06117955,49.08902967,49.11021682,49.13542869,49.15996861,49.18597391,49.21176975,49.2359986,49.25924764,49.28011938,49.29451574,49.29571045,49.30176608,49.30936675,49.31182498
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Germany,DEU,48.67040716,48.67057444,48.67968248,48.66585196,48.65571679,48.62111994,48.6768055,48.77699529,48.78803836,48.75151853,48.72369331,48.76738411,48.87364723,48.98603718,49.06211383,49.22399183,49.34961234,49.36283758,49.37559514,49.37998798,49.37447378,49.36773423,49.36787567,49.3751809,49.38134875
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Djibouti,DJI,49.73371443,49.74595268,49.75451686,49.75741194,49.75421336,49.74671311,49.73824559,49.72939658,49.71984936,49.71147348,49.70427368,49.69759329,49.69097396,49.68354784,49.67493321,49.66500443,49.65508668,49.64520719,49.63526803,49.62542826,49.61300702,49.59915237,49.58754582,49.57764608,49.56807521
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Dominica,DMA,49.5664993,49.5885075,49.64602288,49.70451329,49.76255681,49.82323416,49.87355754,49.90921899,49.93609667,49.96151891,49.99346491,49.98117415,49.9804679,49.88309546,49.78401114,49.80116461,49.95618257,50.13796225,50.15695133,50.16499705,50.1679665,50.16293915,50.127196,50.06465193,49.99924477
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Denmark,DNK,49.42706068,49.43720903,49.44767994,49.46118453,49.47100598,49.48031711,49.49652593,49.52291514,49.55430367,49.5663001,49.56713055,49.57368258,49.58641196,49.60782372,49.64268717,49.69517221,49.73788455,49.75251372,49.75555005,49.75332859,49.74401229,49.75145029,49.73557083,49.70542032,49.70539931
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Dominican Republic,DOM,50.02615273,50.01516579,50.00444521,49.99464402,49.98641939,49.98029817,49.97634668,49.97330699,49.96866229,49.9600011,49.94669647,49.9295318,49.91063423,49.89248892,49.87639023,49.86319854,49.84930477,49.83515741,49.82305783,49.81089667,49.78918634,49.76168421,49.74041768,49.72553817,49.71485596
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Algeria,DZA,51.53104497,51.50166347,51.470859,51.43974584,51.40992389,51.37848486,51.34614457,51.31915243,51.3009837,51.28728873,51.27205703,51.25392322,51.23304721,51.2108279,51.18824294,51.16598199,51.14760153,51.13118234,51.11111425,51.08909679,51.06552275,51.04527929,51.0294786,51.01187677,50.99804957
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Ecuador,ECU,49.99267094,49.99192533,49.99053923,49.98827053,49.9844401,49.97935168,49.97375788,49.96805379,49.96229898,49.95675826,49.95202198,49.9487643,49.94760212,49.94843466,49.95076433,49.9537969,49.95679225,49.95917544,49.95814845,49.95298737,49.92572979,49.88882199,49.87026407,49.86045393,49.85327929
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Egypt, Arab Rep.",EGY,50.74447393,50.74753963,50.74395582,50.73637298,50.7267131,50.71407501,50.69287631,50.66254807,50.62867795,50.59731455,50.56725311,50.55110072,50.55005956,50.54831115,50.53945121,50.51699673,50.49683855,50.49196904,50.49218366,50.49157506,50.49031733,50.49355468,50.49554535,50.491288,50.48998158
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Eritrea,ERI,48.79803616,48.83609081,48.88580208,48.94023545,48.99168066,49.02356594,49.04718064,49.0697621,49.10203964,49.1318387,49.15574093,49.1769677,49.19332931,49.20853472,49.21875101,49.22615862,49.23546187,49.24622589,49.26123479,49.27735808,49.29170199,49.30835122,49.32779421,49.3467447,49.36508691
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Spain,ESP,49.090123,49.09404274,49.14078805,49.22082115,49.30406493,49.38987305,49.44604426,49.50495872,49.55177515,49.53809334,49.4939355,49.44483327,49.38200049,49.31111539,49.25733604,49.22344392,49.18895993,49.1527365,49.12866443,49.11887012,49.11387056,49.10992019,49.10398079,49.09966234,49.09551506
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Estonia,EST,46.60990682,46.58795884,46.55195787,46.52215779,46.49781276,46.48639552,46.48417082,46.47856648,46.49443486,46.53791712,46.58413503,46.6261149,46.66051723,46.70400836,46.75857315,46.82376675,46.90181016,47.01299884,47.15805638,47.29240245,47.38028788,47.42316501,47.45824729,47.49750584,47.54664671
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Ethiopia,ETH,49.90320048,49.95026175,49.99335874,50.03210706,50.06620117,50.09579102,50.12134419,50.14016184,50.15246073,50.16064515,50.16667548,50.17228562,50.17700802,50.1790555,50.17816636,50.17476462,50.1694913,50.16315423,50.15657509,50.14995674,50.14104968,50.12976611,50.11890565,50.10903268,50.1040491
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Finland,FIN,48.80498265,48.83487205,48.86690744,48.89756386,48.91945464,48.93707342,48.9552427,48.97867344,49.01385691,49.04496394,49.07094464,49.09928862,49.12673156,49.15629614,49.18423497,49.2149961,49.25938077,49.30368114,49.33741402,49.36575464,49.39011996,49.42207975,49.43185848,49.41840889,49.42670968
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Fiji,FJI,50.50796222,50.52448458,50.54006177,50.55674454,50.57681861,50.59605906,50.61368022,50.63280142,50.6069854,50.5336521,50.45901891,50.38423287,50.30467178,50.22682307,50.14881455,50.0648829,49.9904261,49.91662658,49.8360191,49.75773282,49.69310201,49.64574441,49.62541684,49.6298741,49.63188427
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,France,FRA,48.51201044,48.48925869,48.46890162,48.45190884,48.4321289,48.40831485,48.4051852,48.41423946,48.41495223,48.41666059,48.4234822,48.42234911,48.42297191,48.42842272,48.41832112,48.39475,48.39843854,48.41183568,48.41461956,48.42939145,48.43882835,48.44849281,48.45841514,48.46908105,48.47842096
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Faroe Islands,FRO,51.71258377,51.75605536,51.80234048,51.84825928,51.89304011,51.92407105,51.94102585,51.92886908,51.91141903,51.92311658,51.57151754,51.27049693,51.39108376,51.49858116,51.58689241,51.62801162,51.60534712,51.58529546,51.62832621,51.69074671,51.72381007,51.75984991,51.76538113,51.7189699,51.66967509
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Micronesia, Fed. Sts.",FSM,49.98036486,49.99021056,50.0062251,50.01469475,50.00982792,49.99192188,49.95800558,49.91445213,49.87882794,49.83836157,49.8130928,49.81058144,49.80721105,49.80207177,49.79980811,49.7948784,49.79051112,49.78672098,49.77709035,49.77013683,49.75522237,49.73527436,49.71680358,49.69812661,49.67877626
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Gabon,GAB,49.50241931,49.56509256,49.63197003,49.70409065,49.78418805,49.87499103,49.97775696,50.09028182,50.20756931,50.3291493,50.45610767,50.58673333,50.71655594,50.83661865,50.93274916,50.99351344,51.01699467,51.01022347,50.98772011,50.95900922,50.92349364,50.88049843,50.83795228,50.79874017,50.75893518
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,United Kingdom,GBR,48.47634683,48.51610332,48.55396798,48.58863747,48.6211917,48.65216426,48.68701536,48.72805619,48.76980714,48.80792995,48.85298708,48.89715183,48.92883706,48.96000409,48.99564511,49.04109549,49.08800672,49.11722678,49.13716383,49.16183882,49.18759409,49.20755937,49.22058033,49.22995895,49.24122183
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Georgia,GEO,45.67355565,45.55187194,45.48839758,45.54525241,45.67711183,45.79468477,45.89393811,45.98119916,46.06615506,46.16500891,46.2730417,46.37178728,46.46604195,46.55746398,46.60163842,46.59792825,46.59223213,46.58533312,46.57915041,46.57347929,46.56497559,46.57151432,46.59158466,46.60303948,46.61358432
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Ghana,GHA,49.78563776,49.80410887,49.8236851,49.84198729,49.85869957,49.8745492,49.89021168,49.9051297,49.91842044,49.930462,49.94135818,49.9501707,49.9572515,49.96318948,49.96730749,49.97025899,49.97287506,49.97462373,49.97522977,49.97427136,49.96970943,49.96388228,49.95847858,49.95142642,49.94346075
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Gibraltar,GIB,49.95308214,49.79932748,49.75387158,49.81784742,49.86940623,49.90742011,49.94255592,49.96334067,49.96711824,49.98053465,49.96799795,49.96209728,49.97970589,49.96451384,49.95123735,49.94878284,49.93612407,49.91239341,49.87949733,49.83940948,49.80233876,49.77074799,49.75936611,49.76475787,49.77243256
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guinea,GIN,49.27801969,49.12571019,49.0213932,49.0331911,49.02344494,48.98299171,48.95037374,48.95048074,48.96335642,48.97557903,48.98845585,49.00470676,49.01904303,49.03307525,49.05514932,49.0887153,49.12942725,49.16964047,49.21114293,49.25846304,49.30562988,49.35328095,49.40054662,49.44326002,49.48406229
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Gambia, The",GMB,49.4925726,49.49234487,49.49534151,49.50114477,49.50974859,49.5206468,49.53354446,49.54897965,49.56690644,49.58611709,49.6059179,49.62662266,49.64752006,49.66803244,49.68773793,49.70584784,49.72162246,49.73503431,49.74652374,49.7573105,49.7660325,49.77391392,49.7823605,49.79011025,49.79494469
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guinea-Bissau,GNB,48.60318772,48.63681376,48.67192323,48.70921121,48.74751957,48.7867196,48.82657636,48.86725303,48.90850735,48.94924386,48.99006988,49.03092327,49.07079742,49.10942031,49.14635505,49.18150797,49.21510154,49.24651225,49.27594741,49.30421163,49.32956829,49.35378691,49.37851723,49.40213752,49.42462632
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Equatorial Guinea,GNQ,50.28502202,50.47890472,50.66864505,50.852969,51.02665138,51.21879905,51.43561372,51.64992993,51.86080606,52.06498702,52.2579126,52.41038269,52.52419438,52.62702428,52.71872881,52.7977754,52.86343992,52.91513803,52.9533748,52.97959438,52.94124158,52.87260645,52.82283105,52.76596182,52.72074174
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Greece,GRC,49.3340033,49.34850197,49.35323094,49.3437818,49.32449955,49.29877372,49.25275299,49.18687175,49.11227203,49.03435953,48.95171722,48.8492636,48.70881005,48.54822061,48.41184831,48.30642138,48.27941227,48.30446887,48.33861158,48.41280222,48.46243736,48.44746394,48.4315264,48.43541502,48.43882009
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Grenada,GRD,50.59701631,50.6547145,50.67755177,50.70441938,50.73772216,50.76639875,50.78948563,50.81115806,50.83140961,50.85210419,50.87151729,50.8471703,50.79096246,50.74061346,50.6891204,50.633088,50.57152784,50.50849807,50.44471912,50.37764481,50.32619627,50.28794735,50.23821132,50.17637362,50.12925849
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Greenland,GRL,53.50032913,53.45588626,53.40860899,53.35964201,53.30369381,53.25021949,53.20921892,53.16825755,53.13707841,53.10675489,53.0575476,53.01931942,52.99059495,52.93024737,52.86609463,52.83554381,52.82638554,52.81518075,52.80165496,52.77975893,52.75415039,52.7292518,52.697755,52.64381382,52.57879656
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guatemala,GTM,49.75986511,49.74954513,49.73918332,49.72849729,49.7167185,49.70440022,49.69251075,49.6814542,49.67134246,49.6618049,49.65401994,49.64874215,49.64526007,49.64252426,49.64017349,49.63815469,49.63670864,49.63602825,49.63674375,49.63737887,49.62742533,49.60621411,49.59396289,49.59499224,49.59802751
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guam,GUM,51.12360604,51.12006446,51.14129933,51.16467242,51.18490935,51.20189821,51.21664169,51.22922301,51.23934023,51.24478706,51.23587274,51.20899708,51.17566779,51.14028692,51.10402088,51.06637155,51.02780179,50.98690448,50.94511277,50.90044992,50.8454717,50.78910401,50.74313321,50.69876942,50.65533416
